mal_kws	malkws_freq	grade	mal_type
一品堂	604	1	Gamble
一码	3050	2	Gamble
一肖	3473	2	Gamble
三和红姐	3	1	Gamble
三平特三连	1	1	Gamble
三码	1219	2	Gamble
三级片	917	1	Porno
下注	5911	1	Gamble
世家	5170	3	Gamble
丝袜	3225	2	Porno
丝袜美腿	882	2	Porno
两码	364	1	Gamble
中彩	2963	1	Gamble
中彩堂	37	1	Gamble
中特	2987	2	Gamble
中特平	384	1	Gamble
中特平特	1	1	Gamble
中特平特三连	1	1	Gamble
中超	3581	3	Gamble
中马堂	27	1	Gamble
久久	4202	1	Porno
乐博	1847	1	Gamble
乐坊	470	1	Gamble
乐彩	3732	1	Gamble
乐虎	904	1	Gamble
九肖	427	1	Gamble
买码	844	1	Gamble
乱伦	2101	2	Porno
互博	174	1	Gamble
五数	8711	2	Gamble
五码	849	1	Gamble
五福临门	512	1	Gamble
亚州	335	3	Porno
亚洲	8832	2	Porno
亚盘	488	1	Gamble
亚视	44	2	Porno
人妻	774	2	Porno
众彩	185	1	Gamble
优博	533	2	Gamble
伦理	998	2	Porno
俄罗斯	5311	3	Porno
做爱	674	1	Porno
做爱图	1	2	Porno
偷偷	518	2	Porno
偷拍	493	2	Porno
免费成人	152	1	Porno
免费电影	121	3	Porno
免费视频	265	3	Porno
八码	318	1	Gamble
八肖九肖	1	1	Gamble
六合	27060	1	Gamble
六合区	208	1	Gamble
六合彩	3068	2	Gamble
六合拳	22	1	Gamble
六合网	162	1	Gamble
六和彩	260	1	Gamble
六彩	356	1	Gamble
六码	283	1	Gamble
六肖	556	1	Gamble
六肖中特	12	1	Gamble
写真	3807	2	Porno
分分彩	873	2	Gamble
分彩	3285	1	Gamble
动作片	372	3	Porno
单双	2414	2	Gamble
博久	44	1	Gamble
博乐	1371	1	Gamble
博会	13293	1	Gamble
博体	837	1	Gamble
博华	526	2	Gamble
博发	1156	1	Gamble
博官	2130	1	Gamble
博彩	7697	2	Gamble
博心	59	1	Gamble
博点	76	1	Gamble
博球网	18	1	Gamble
博码	16	1	Gamble
博线	324	1	Gamble
博馬	1	1	Gamble
双彩	258	1	Gamble
双色球	2286	1	Gamble
发牌	451	2	Gamble
合买	332	2	Gamble
合彩	1794	1	Gamble
合集	1430	2	Porno
同乐	701	1	Gamble
咪咪	155	2	Porno
品特	4416	1	Gamble
哥也色	123	1	Porno
哥哥	1226	3	Porno
哥哥妹妹	39	1	Porno
哥要	59	1	Porno
噜噜色	182	1	Porno
四码	136	1	Gamble
四肖	572	1	Gamble
国产	6893	3	Porno
图库	3756	3	Porno
土豪	3684	2	Gamble
圣淘沙	205	1	Gamble
在线播放	204	3	Porno
在线视频	2311	3	Porno
坏蛋	94	3	Porno
坛主	388	2	Gamble
城码	3	1	Gamble
多宝鱼	64	2	Gamble
大小	17464	2	Gamble
大色	297	1	Porno
大色堂	1	1	Porno
大色妹	1	1	Porno
大色网	2	1	Porno
大色鱼	1	1	Porno
大赢家	1863	2	Gamble
天将	772	3	Gamble
天机	1269	2	Gamble
太阳城	2588	2	Gamble
头彩	188	2	Gamble
奇艺色	48	1	Porno
女优	691	1	Porno
奶奶	3770	2	Gamble
好彩	575	2	Gamble
好料	221	2	Gamble
好看	3404	3	Porno
妹妹	1136	3	Porno
妹妹网	8	2	Porno
姐妹	1458	2	Porno
姐姐	1288	3	Porno
姿彩	64	2	Gamble
威尼斯人	8805	1	Gamble
娛樂城	249	1	Gamble
娛樂場	70	2	Gamble
娱乐	61689	2	Gamble
娱乐场	4464	2	Gamble
娱乐城	17935	1	Gamble
娱乐网	5864	1	Gamble
婷婷	475	2	Porno
富网	1786	2	Gamble
射哥	43	1	Porno
射夜	13	1	Porno
射射	19	1	Porno
射影	161	1	Porno
射猫	2	2	Porno
射精	445	1	Porno
射网	34	1	Porno
小妹	300	3	Porno
小姐	6216	2	Porno
小小	6989	3	Gamble
小色	29	2	Porno
小色哥	70	1	Porno
小赌	183	2	Gamble
小龙女	458	2	Gamble
少妇	286	2	Porno
尾数	1564	2	Gamble
屌丝	488	3	Porno
岛国	768	1	Porno
岛弟	1	2	Porno
巨乳	369	2	Porno
干妈	85	2	Porno
干色	26	1	Porno
平买	31	1	Gamble
平台	117306	2	Gamble
平坛	1	2	Gamble
平注	109	1	Gamble
平码	286	1	Gamble
平肖	15	1	Gamble
平肖平码	1	1	Gamble
庞博	27	2	Gamble
开奖	11633	2	Gamble
开奖号码	791	1	Gamble
开彩	706	1	Gamble
开户	7881	3	Gamble
